platform,model,temperature,prompt_variant_id,Error running test,Process failed,Process timeout,Total Errors (max 100)
Ollama,deepseek-r1_16384,0.5,base,0,0,1,1
Ollama,deepseek-r1_16384,0.5,library_functions_suffix,0,0,1,1
Ollama,deepseek-r1_16384,1.0,base,0,2,0,2
Ollama,deepseek-r1_16384,1.0,cot,0,1,1,2
Ollama,deepseek-r1_16384,1.0,cot_secure_rci_1,0,1,0,1
Ollama,deepseek-r1_16384,1.0,persona_energy_efficient_prefix,0,1,0,1
Ollama,deepseek-r1_16384,1.0,persona_secure_prefix,0,1,0,1
Ollama,deepseek-r1_16384,1.0,secure_rci_1,0,0,1,1
Ollama,deepseek-r1_16384,1.0,secure_suffix,0,1,0,1
Ollama,eurollm_16384,0.0,base,0,1,0,1
Ollama,eurollm_16384,0.0,cot,0,11,0,11
Ollama,eurollm_16384,0.0,cot_secure_rci_1,0,10,1,11
Ollama,eurollm_16384,0.0,energy_efficient_rci_1,0,1,0,1
Ollama,eurollm_16384,0.0,energy_efficient_suffix,0,1,0,1
Ollama,eurollm_16384,0.0,for_loops_suffix,0,1,0,1
Ollama,eurollm_16384,0.0,library_functions_suffix,0,1,0,1
Ollama,eurollm_16384,0.0,persona_energy_efficient_prefix,0,1,0,1
Ollama,eurollm_16384,0.0,persona_secure_prefix,0,1,0,1
Ollama,eurollm_16384,0.0,secure_rci_1,0,1,0,1
Ollama,eurollm_16384,0.0,secure_suffix,0,1,0,1
Ollama,eurollm_16384,0.5,base,0,8,0,8
Ollama,eurollm_16384,0.5,cot,0,26,0,26
Ollama,eurollm_16384,0.5,cot_secure_rci_1,0,23,0,23
Ollama,eurollm_16384,0.5,energy_efficient_rci_1,0,16,0,16
Ollama,eurollm_16384,0.5,energy_efficient_suffix,0,6,0,6
Ollama,eurollm_16384,0.5,for_loops_suffix,0,11,0,11
Ollama,eurollm_16384,0.5,library_functions_suffix,0,11,0,11
Ollama,eurollm_16384,0.5,persona_energy_efficient_prefix,0,15,0,15
Ollama,eurollm_16384,0.5,persona_secure_prefix,0,12,0,12
Ollama,eurollm_16384,0.5,secure_rci_1,0,11,0,11
Ollama,eurollm_16384,0.5,secure_suffix,0,16,0,16
Ollama,eurollm_16384,1.0,base,0,13,0,13
Ollama,eurollm_16384,1.0,cot,0,17,0,17
Ollama,eurollm_16384,1.0,cot_secure_rci_1,0,28,1,29
Ollama,eurollm_16384,1.0,energy_efficient_rci_1,0,17,0,17
Ollama,eurollm_16384,1.0,energy_efficient_suffix,0,25,0,25
Ollama,eurollm_16384,1.0,for_loops_suffix,0,19,0,19
Ollama,eurollm_16384,1.0,library_functions_suffix,0,16,0,16
Ollama,eurollm_16384,1.0,persona_energy_efficient_prefix,0,21,1,22
Ollama,eurollm_16384,1.0,persona_secure_prefix,0,18,0,18
Ollama,eurollm_16384,1.0,secure_rci_1,0,14,0,14
Ollama,eurollm_16384,1.0,secure_suffix,0,13,1,14
Ollama,mistral_16384,0.5,base,0,2,0,2
Ollama,mistral_16384,0.5,cot,0,4,0,4
Ollama,mistral_16384,0.5,cot_secure_rci_1,0,3,0,3
Ollama,mistral_16384,0.5,energy_efficient_rci_1,0,3,0,3
Ollama,mistral_16384,0.5,energy_efficient_suffix,0,5,0,5
Ollama,mistral_16384,0.5,for_loops_suffix,0,1,1,2
Ollama,mistral_16384,0.5,library_functions_suffix,0,2,0,2
Ollama,mistral_16384,0.5,persona_energy_efficient_prefix,0,5,0,5
Ollama,mistral_16384,0.5,persona_secure_prefix,0,7,0,7
Ollama,mistral_16384,0.5,secure_rci_1,0,5,0,5
Ollama,mistral_16384,0.5,secure_suffix,0,4,0,4
Ollama,mistral_16384,1.0,base,0,5,0,5
Ollama,mistral_16384,1.0,cot,0,6,0,6
Ollama,mistral_16384,1.0,cot_secure_rci_1,0,8,0,8
Ollama,mistral_16384,1.0,energy_efficient_rci_1,0,9,0,9
Ollama,mistral_16384,1.0,energy_efficient_suffix,0,10,0,10
Ollama,mistral_16384,1.0,for_loops_suffix,1,6,0,7
Ollama,mistral_16384,1.0,library_functions_suffix,0,11,0,11
Ollama,mistral_16384,1.0,persona_energy_efficient_prefix,0,15,0,15
Ollama,mistral_16384,1.0,persona_secure_prefix,0,13,0,13
Ollama,mistral_16384,1.0,secure_rci_1,0,7,0,7
